epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6725.99,1.20583,2.86083,1.40512,0.47743,0.44333,0.42016,0.18113,2.0593,6.41973,2.08798,0.00105638,0.00105638,0.00105638
76,6815.78,1.18553,2.82761,1.39524,0.42598,0.5186,0.43417,0.18207,1.97482,5.68513,2.00545,0.00104813,0.00104813,0.00104813
77,6904.35,1.21712,2.834,1.39578,0.51196,0.50857,0.47401,0.20983,1.97327,5.43388,2.01116,0.00103987,0.00103987,0.00103987
78,6994.68,1.23183,2.7953,1.41745,0.47425,0.46864,0.41491,0.16924,2.04439,6.02211,2.02281,0.00103162,0.00103162,0.00103162
79,7084.31,1.19325,2.83128,1.38718,0.41222,0.51261,0.43497,0.20961,1.93626,5.8985,1.95771,0.00102337,0.00102337,0.00102337
80,7173.75,1.18279,2.66505,1.38103,0.4647,0.50982,0.44187,0.20954,1.96478,5.47911,1.96652,0.00101512,0.00101512,0.00101512
81,7264.19,1.19536,2.74144,1.3904,0.48434,0.43945,0.39761,0.1848,1.9885,5.92603,1.99206,0.00100687,0.00100687,0.00100687
82,7354.6,1.17929,2.7324,1.38313,0.45655,0.47564,0.4318,0.19568,2.06233,5.81603,2.09833,0.000998616,0.000998616,0.000998616
83,7442.98,1.169,2.66064,1.37259,0.45117,0.51388,0.4461,0.19491,1.95232,5.59485,1.98084,0.000990365,0.000990365,0.000990365
84,7533.46,1.2051,2.74248,1.40175,0.47443,0.47146,0.44766,0.18363,2.11625,5.62712,2.12565,0.000982113,0.000982113,0.000982113
85,7623.13,1.17514,2.75632,1.38049,0.54892,0.44747,0.42257,0.18696,1.95809,6.15366,1.9924,0.000973861,0.000973861,0.000973861
86,7712.4,1.18964,2.72885,1.37511,0.4895,0.52386,0.45764,0.21013,1.92682,5.5629,1.96722,0.00096561,0.00096561,0.00096561
87,7801.05,1.13962,2.55679,1.34552,0.55389,0.46794,0.45504,0.20461,2.00767,6.06999,2.04111,0.000957358,0.000957358,0.000957358
88,7890.24,1.17787,2.62758,1.37656,0.52549,0.55875,0.47809,0.204,1.98465,5.86457,2.04995,0.000949106,0.000949106,0.000949106
89,7978.98,1.15793,2.64014,1.37247,0.49942,0.47789,0.44152,0.19552,1.98448,5.64774,2.0188,0.000940855,0.000940855,0.000940855
90,8069.17,1.15275,2.62907,1.37691,0.52776,0.53627,0.48104,0.2168,1.91436,5.3973,1.95235,0.000932603,0.000932603,0.000932603
91,8157.74,1.1723,2.67828,1.38083,0.4947,0.48152,0.44552,0.20459,2.00146,5.83418,2.05713,0.000924352,0.000924352,0.000924352
92,8247.62,1.15225,2.65779,1.36562,0.55329,0.4993,0.46503,0.19942,2.01601,5.76984,2.03069,0.0009161,0.0009161,0.0009161
93,8338.76,1.11922,2.50037,1.32876,0.55652,0.46401,0.46508,0.20402,1.98167,5.69769,1.99677,0.000907848,0.000907848,0.000907848
94,8428.47,1.13187,2.59511,1.34385,0.5491,0.48915,0.44276,0.19131,1.98349,5.73344,2.02107,0.000899597,0.000899597,0.000899597
95,8519.1,1.14375,2.56194,1.3503,0.57023,0.44329,0.44164,0.221,1.94979,6.06649,1.96918,0.000891345,0.000891345,0.000891345
96,8609,1.16056,2.58659,1.3562,0.54622,0.48401,0.45334,0.20905,1.92486,5.53168,1.96188,0.000883093,0.000883093,0.000883093
97,8698.76,1.1373,2.60392,1.34819,0.56092,0.42434,0.42482,0.19194,1.95672,6.19035,2.03508,0.000874842,0.000874842,0.000874842
98,8789.71,1.15809,2.57345,1.3549,0.53033,0.41616,0.41862,0.18485,2.03018,6.80025,2.0581,0.00086659,0.00086659,0.00086659
99,8879.7,1.13392,2.53032,1.34456,0.42509,0.45463,0.35151,0.16104,1.9452,6.18113,1.96775,0.000858338,0.000858338,0.000858338
100,8968.38,1.12692,2.47407,1.34091,0.53361,0.48943,0.47143,0.22554,1.94221,5.3365,1.99002,0.000850087,0.000850087,0.000850087
101,9059.44,1.11381,2.51105,1.33835,0.53822,0.52022,0.49008,0.2095,2.02437,5.11975,2.04348,0.000841835,0.000841835,0.000841835
102,9150.44,1.11598,2.50892,1.33676,0.40447,0.47768,0.38128,0.18123,2.042,6.4609,2.06051,0.000833583,0.000833583,0.000833583
103,9239.17,1.11963,2.53031,1.33157,0.49496,0.44155,0.42011,0.1873,1.98254,6.00195,2.0251,0.000825332,0.000825332,0.000825332
104,9327.98,1.11719,2.47249,1.34572,0.53377,0.46856,0.46219,0.21664,1.96138,5.92042,2.00296,0.00081708,0.00081708,0.00081708
105,9421.96,1.14242,2.55601,1.35414,0.55914,0.45737,0.4571,0.22116,1.97866,5.99981,2.04767,0.000808828,0.000808828,0.000808828
106,9512.64,1.10589,2.52304,1.33319,0.52583,0.48741,0.4255,0.19125,2.01966,6.3433,2.0569,0.000800577,0.000800577,0.000800577
107,9603.69,1.10603,2.45528,1.33632,0.48552,0.52832,0.43609,0.19649,1.98849,5.6376,2.0562,0.000792325,0.000792325,0.000792325
108,9692.47,1.11038,2.42151,1.31979,0.44943,0.51326,0.42879,0.20133,2.00051,5.68025,2.05361,0.000784073,0.000784073,0.000784073
109,9783.16,1.08891,2.32961,1.31411,0.4765,0.55207,0.46452,0.22668,1.97583,5.47224,2.00694,0.000775822,0.000775822,0.000775822
110,9875.6,1.11563,2.52312,1.34308,0.51172,0.50491,0.44111,0.20349,1.97416,5.59357,2.03633,0.00076757,0.00076757,0.00076757
111,9967.15,1.08389,2.42492,1.31112,0.55805,0.48963,0.47523,0.22238,1.92626,5.3947,1.97478,0.000759318,0.000759318,0.000759318
